Year,Region,Product_Category,Actual_Units_Sold (2015-2024),Forecast_Units_Sold (2025-2035),ASP (Avg_Selling_Price)
2030,Global,Refrigerator – Side-by-side,,34.245,1345.87
2031,Global,Refrigerator – Side-by-side,,34.93,1372.79
2032,Global,Refrigerator – Side-by-side,,35.629,1400.24
2033,Global,Refrigerator – Side-by-side,,36.341,1428.25
2034,Global,Refrigerator – Side-by-side,,37.068,1456.81
2035,Global,Refrigerator – Side-by-side,,37.809,1485.95
2015,Global,Washing machine – Top-load agitator,25.0,,510.0
2016,Global,Washing machine – Top-load agitator,25.625,,520.2
2017,Global,Washing machine – Top-load agitator,26.266,,530.6
2018,Global,Washing machine – Top-load agitator,26.922,,541.22
2019,Global,Washing machine – Top-load agitator,27.595,,552.04
2020,Global,Washing machine – Top-load agitator,28.285,,563.08
2021,Global,Washing machine – Top-load agitator,28.992,,574.34
2022,Global,Washing machine – Top-load agitator,29.717,,585.83
2023,Global,Washing machine – Top-load agitator,30.46,,597.55
2024,Global,Washing machine – Top-load agitator,31.222,,609.5
2025,Global,Washing machine – Top-load agitator,,31.908,621.69
2026,Global,Washing machine – Top-load agitator,,32.61,634.12
2027,Global,Washing machine – Top-load agitator,,33.328,646.8
2028,Global,Washing machine – Top-load agitator,,34.061,659.74
2029,Global,Washing machine – Top-load agitator,,34.81,672.93
2030,Global,Washing machine – Top-load agitator,,35.576,686.39
2031,Global,Washing machine – Top-load agitator,,36.359,700.12
2032,Global,Washing machine – Top-load agitator,,37.159,714.12
2033,Global,Washing machine – Top-load agitator,,37.976,728.41
2034,Global,Washing machine – Top-load agitator,,38.812,742.97
2035,Global,Washing machine – Top-load agitator,,39.666,757.83
2015,Global,Washing machine – Top-load impeller (HE),35.0,,570.0
2016,Global,Washing machine – Top-load impeller (HE),35.91,,581.4
2017,Global,Washing machine – Top-load impeller (HE),36.844,,593.03
2018,Global,Washing machine – Top-load impeller (HE),37.802,,604.89
2019,Global,Washing machine – Top-load impeller (HE),38.784,,616.99
2020,Global,Washing machine – Top-load impeller (HE),39.793,,629.33
2021,Global,Washing machine – Top-load impeller (HE),40.827,,641.91
2022,Global,Washing machine – Top-load impeller (HE),41.889,,654.75
2023,Global,Washing machine – Top-load impeller (HE),42.978,,667.85
2024,Global,Washing machine – Top-load impeller (HE),44.096,,681.2
2025,Global,Washing machine – Top-load impeller (HE),,45.11,694.83
2026,Global,Washing machine – Top-load impeller (HE),,46.147,708.72
2027,Global,Washing machine – Top-load impeller (HE),,47.209,722.9
2028,Global,Washing machine – Top-load impeller (HE),,48.294,737.36
2029,Global,Washing machine – Top-load impeller (HE),,49.405,752.1
2030,Global,Washing machine – Top-load impeller (HE),,50.541,767.14
2031,Global,Washing machine – Top-load impeller (HE),,51.704,782.49
2032,Global,Washing machine – Top-load impeller (HE),,52.893,798.14
2033,Global,Washing machine – Top-load impeller (HE),,54.11,814.1
2034,Global,Washing machine – Top-load impeller (HE),,55.354,830.38
2035,Global,Washing machine – Top-load impeller (HE),,56.627,846.99
2015,Global,Washing machine – Front-load,40.0,,690.0
2016,Global,Washing machine – Front-load,41.08,,703.8
2017,Global,Washing machine – Front-load,42.189,,717.88
2018,Global,Washing machine – Front-load,43.328,,732.23
2019,Global,Washing machine – Front-load,44.498,,746.88
2020,Global,Washing machine – Front-load,45.7,,761.82
2021,Global,Washing machine – Front-load,46.933,,777.05
2022,Global,Washing machine – Front-load,48.201,,792.59
2023,Global,Washing machine – Front-load,49.502,,808.44
2024,Global,Washing machine – Front-load,50.839,,824.61
2025,Global,Washing machine – Front-load,,52.059,841.11
2026,Global,Washing machine – Front-load,,53.308,857.93
2027,Global,Washing machine – Front-load,,54.588,875.09
2028,Global,Washing machine – Front-load,,55.898,892.59
2029,Global,Washing machine – Front-load,,57.239,910.44
2030,Global,Washing machine – Front-load,,58.613,928.65
2031,Global,Washing machine – Front-load,,60.02,947.22
2032,Global,Washing machine – Front-load,,61.46,966.17
2033,Global,Washing machine – Front-load,,62.935,985.49
2034,Global,Washing machine – Front-load,,64.446,1005.2
2035,Global,Washing machine – Front-load,,65.992,1025.3
2015,Global,Microwave oven – Countertop,49.0,,91.0
2016,Global,Microwave oven – Countertop,49.49,,92.82
2017,Global,Microwave oven – Countertop,49.985,,94.68
2018,Global,Microwave oven – Countertop,50.485,,96.57
2019,Global,Microwave oven – Countertop,50.99,,98.5
2020,Global,Microwave oven – Countertop,51.499,,100.47
2021,Global,Microwave oven – Countertop,52.014,,102.48
2022,Global,Microwave oven – Countertop,52.535,,104.53
2023,Global,Microwave oven – Countertop,53.06,,106.62
2024,Global,Microwave oven – Countertop,53.591,,108.75
2025,Global,Microwave oven – Countertop,,54.234,110.93
2026,Global,Microwave oven – Countertop,,54.884,113.15
2027,Global,Microwave oven – Countertop,,55.543,115.41
2028,Global,Microwave oven – Countertop,,56.21,117.72
2029,Global,Microwave oven – Countertop,,56.884,120.07
2030,Global,Microwave oven – Countertop,,57.567,122.47
2031,Global,Microwave oven – Countertop,,58.258,124.92
2032,Global,Microwave oven – Countertop,,58.957,127.42
2033,Global,Microwave oven – Countertop,,59.664,129.97
2034,Global,Microwave oven – Countertop,,60.38,132.57
2035,Global,Microwave oven – Countertop,,61.105,135.22
2015,Global,Microwave oven – Over-the-range,14.0,,117.0
2016,Global,Microwave oven – Over-the-range,14.14,,119.34
2017,Global,Microwave oven – Over-the-range,14.281,,121.73
2018,Global,Microwave oven – Over-the-range,14.424,,124.16
2019,Global,Microwave oven – Over-the-range,14.568,,126.64
2020,Global,Microwave oven – Over-the-range,14.714,,129.18
2021,Global,Microwave oven – Over-the-range,14.861,,131.76
2022,Global,Microwave oven – Over-the-range,15.01,,134.4
2023,Global,Microwave oven – Over-the-range,15.16,,137.08
2024,Global,Microwave oven – Over-the-range,15.312,,139.83
2025,Global,Microwave oven – Over-the-range,,15.495,142.62
2026,Global,Microwave oven – Over-the-range,,15.681,145.47
2027,Global,Microwave oven – Over-the-range,,15.869,148.38
2028,Global,Microwave oven – Over-the-range,,16.06,151.35
2029,Global,Microwave oven – Over-the-range,,16.253,154.38
2030,Global,Microwave oven – Over-the-range,,16.448,157.47
2031,Global,Microwave oven – Over-the-range,,16.645,160.62
2032,Global,Microwave oven – Over-the-range,,16.845,163.83
2033,Global,Microwave oven – Over-the-range,,17.047,167.1
2034,Global,Microwave oven – Over-the-range,,17.251,170.45
2035,Global,Microwave oven – Over-the-range,,17.458,173.86
2015,Global,Microwave oven – Built-in/Drawer,7.0,,182.0
2016,Global,Microwave oven – Built-in/Drawer,7.091,,185.64
2017,Global,Microwave oven – Built-in/Drawer,7.183,,189.35
2018,Global,Microwave oven – Built-in/Drawer,7.277,,193.14
2019,Global,Microwave oven – Built-in/Drawer,7.371,,197.0
2020,Global,Microwave oven – Built-in/Drawer,7.467,,200.94
2021,Global,Microwave oven – Built-in/Drawer,7.564,,204.96
2022,Global,Microwave oven – Built-in/Drawer,7.662,,209.06
2023,Global,Microwave oven – Built-in/Drawer,7.762,,213.24
2024,Global,Microwave oven – Built-in/Drawer,7.863,,217.51
2025,Global,Microwave oven – Built-in/Drawer,,7.981,221.86
2026,Global,Microwave oven – Built-in/Drawer,,8.101,226.29
2027,Global,Microwave oven – Built-in/Drawer,,8.222,230.82
2028,Global,Microwave oven – Built-in/Drawer,,8.345,235.44
2029,Global,Microwave oven – Built-in/Drawer,,8.471,240.15
2030,Global,Microwave oven – Built-in/Drawer,,8.598,244.95
2031,Global,Microwave oven – Built-in/Drawer,,8.727,249.85
2032,Global,Microwave oven – Built-in/Drawer,,8.858,254.84
2033,Global,Microwave oven – Built-in/Drawer,,8.99,259.94
2034,Global,Microwave oven – Built-in/Drawer,,9.125,265.14
2035,Global,Microwave oven – Built-in/Drawer,,9.262,270.44
2015,Global,Induction cooktop / electric stove – Induction hob,17.5,,660.0
2016,Global,Induction cooktop / electric stove – Induction hob,18.008,,673.2
2017,Global,Induction cooktop / electric stove – Induction hob,18.53,,686.66
2018,Global,Induction cooktop / electric stove – Induction hob,19.067,,700.4
2019,Global,Induction cooktop / electric stove – Induction hob,19.62,,714.41
2020,Global,Induction cooktop / electric stove – Induction hob,20.189,,728.69
2021,Global,Induction cooktop / electric stove – Induction hob,20.774,,743.27
2022,Global,Induction cooktop / electric stove – Induction hob,21.377,,758.13
2023,Global,Induction cooktop / electric stove – Induction hob,21.997,,773.3
2024,Global,Induction cooktop / electric stove – Induction hob,22.635,,788.76
2025,Global,Induction cooktop / electric stove – Induction hob,,23.223,804.54
2026,Global,Induction cooktop / electric stove – Induction hob,,23.827,820.63
2027,Global,Induction cooktop / electric stove – Induction hob,,24.447,837.04
2028,Global,Induction cooktop / electric stove – Induction hob,,25.082,853.78
2029,Global,Induction cooktop / electric stove – Induction hob,,25.734,870.86
2030,Global,Induction cooktop / electric stove – Induction hob,,26.403,888.27
2031,Global,Induction cooktop / electric stove – Induction hob,,27.09,906.04
2032,Global,Induction cooktop / electric stove – Induction hob,,27.794,924.16
2033,Global,Induction cooktop / electric stove – Induction hob,,28.517,942.64
2034,Global,Induction cooktop / electric stove – Induction hob,,29.258,961.5
2035,Global,Induction cooktop / electric stove – Induction hob,,30.019,980.73
2015,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),20.0,,550.0
2016,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),20.5,,561.0
2017,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),21.012,,572.22
2018,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),21.538,,583.66
2019,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),22.076,,595.34
2020,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),22.628,,607.24
2021,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),23.194,,619.39
2022,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),23.774,,631.78
2023,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),24.368,,644.41
2024,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),24.977,,657.3
2025,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,25.527,670.45
2026,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,26.088,683.86
2027,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,26.662,697.53
2028,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,27.249,711.48
2029,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,27.848,725.71
2030,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,28.461,740.23
2031,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,29.087,755.03
2032,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,29.727,770.13
2033,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,30.381,785.54
2034,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,31.049,801.25
2035,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),,31.733,817.27
2015,Global,Induction cooktop / electric stove – Electric coil,12.5,,385.0
2016,Global,Induction cooktop / electric stove – Electric coil,12.762,,392.7
2017,Global,Induction cooktop / electric stove – Electric coil,13.031,,400.55
2018,Global,Induction cooktop / electric stove – Electric coil,13.304,,408.57
2019,Global,Induction cooktop / electric stove – Electric coil,13.584,,416.74
2020,Global,Induction cooktop / electric stove – Electric coil,13.869,,425.07
2021,Global,Induction cooktop / electric stove – Electric coil,14.16,,433.57
2022,Global,Induction cooktop / electric stove – Electric coil,14.457,,442.24
2023,Global,Induction cooktop / electric stove – Electric coil,14.761,,451.09
2024,Global,Induction cooktop / electric stove – Electric coil,15.071,,460.11
2025,Global,Induction cooktop / electric stove – Electric coil,,15.342,469.31
2026,Global,Induction cooktop / electric stove – Electric coil,,15.618,478.7
2027,Global,Induction cooktop / electric stove – Electric coil,,15.9,488.27
2028,Global,Induction cooktop / electric stove – Electric coil,,16.186,498.04
2029,Global,Induction cooktop / electric stove – Electric coil,,16.477,508.0
2030,Global,Induction cooktop / electric stove – Electric coil,,16.774,518.16
2031,Global,Induction cooktop / electric stove – Electric coil,,17.076,528.52
2032,Global,Induction cooktop / electric stove – Electric coil,,17.383,539.09
2033,Global,Induction cooktop / electric stove – Electric coil,,17.696,549.87
2034,Global,Induction cooktop / electric stove – Electric coil,,18.014,560.87
2035,Global,Induction cooktop / electric stove – Electric coil,,18.339,572.09
2015,Global,Electric oven – Single wall oven,10.5,,1000.0
2016,Global,Electric oven – Single wall oven,10.689,,1020.0
2017,Global,Electric oven – Single wall oven,10.881,,1040.4
2018,Global,Electric oven – Single wall oven,11.077,,1061.21
2019,Global,Electric oven – Single wall oven,11.277,,1082.43
2020,Global,Electric oven – Single wall oven,11.48,,1104.08
2021,Global,Electric oven – Single wall oven,11.686,,1126.16
2022,Global,Electric oven – Single wall oven,11.897,,1148.69
2023,Global,Electric oven – Single wall oven,12.111,,1171.66
2024,Global,Electric oven – Single wall oven,12.329,,1195.09
2025,Global,Electric oven – Single wall oven,,12.526,1218.99
2026,Global,Electric oven – Single wall oven,,12.726,1243.37
2027,Global,Electric oven – Single wall oven,,12.93,1268.24
2028,Global,Electric oven – Single wall oven,,13.137,1293.61
2029,Global,Electric oven – Single wall oven,,13.347,1319.48
2030,Global,Electric oven – Single wall oven,,13.561,1345.87
2031,Global,Electric oven – Single wall oven,,13.778,1372.79
2032,Global,Electric oven – Single wall oven,,13.998,1400.24
2033,Global,Electric oven – Single wall oven,,14.222,1428.25
2034,Global,Electric oven – Single wall oven,,14.45,1456.81
2035,Global,Electric oven – Single wall oven,,14.681,1485.95
2015,Global,Electric oven – Double wall oven,7.0,,1200.0
2016,Global,Electric oven – Double wall oven,7.133,,1224.0
2017,Global,Electric oven – Double wall oven,7.269,,1248.48
2018,Global,Electric oven – Double wall oven,7.407,,1273.45
2019,Global,Electric oven – Double wall oven,7.547,,1298.92
2020,Global,Electric oven – Double wall oven,7.691,,1324.9
2021,Global,Electric oven – Double wall oven,7.837,,1351.39
2022,Global,Electric oven – Double wall oven,7.986,,1378.42
2023,Global,Electric oven – Double wall oven,8.138,,1405.99
2024,Global,Electric oven – Double wall oven,8.292,,1434.11
2025,Global,Electric oven – Double wall oven,,8.433,1462.79
2026,Global,Electric oven – Double wall oven,,8.576,1492.05
2027,Global,Electric oven – Double wall oven,,8.722,1521.89
2028,Global,Electric oven – Double wall oven,,8.871,1552.33
2029,Global,Electric oven – Double wall oven,,9.021,1583.37
2030,Global,Electric oven – Double wall oven,,9.175,1615.04
2031,Global,Electric oven – Double wall oven,,9.331,1647.34
2032,Global,Electric oven – Double wall oven,,9.489,1680.29
2033,Global,Electric oven – Double wall oven,,9.651,1713.9
2034,Global,Electric oven – Double wall oven,,9.815,1748.17
2035,Global,Electric oven – Double wall oven,,9.982,1783.14
2015,Global,Electric oven – Freestanding range (electric),17.5,,900.0
2016,Global,Electric oven – Freestanding range (electric),17.797,,918.0
2017,Global,Electric oven – Freestanding range (electric),18.1,,936.36
2018,Global,Electric oven – Freestanding range (electric),18.408,,955.09
2019,Global,Electric oven – Freestanding range (electric),18.721,,974.19
2020,Global,Electric oven – Freestanding range (electric),19.039,,993.67
2021,Global,Electric oven – Freestanding range (electric),19.363,,1013.55
2022,Global,Electric oven – Freestanding range (electric),19.692,,1033.82
2023,Global,Electric oven – Freestanding range (electric),20.027,,1054.49
2024,Global,Electric oven – Freestanding range (electric),20.367,,1075.58
2025,Global,Electric oven – Freestanding range (electric),,20.672,1097.09
2026,Global,Electric oven – Freestanding range (electric),,20.983,1119.04
2027,Global,Electric oven – Freestanding range (electric),,21.297,1141.42
2028,Global,Electric oven – Freestanding range (electric),,21.617,1164.25
2029,Global,Electric oven – Freestanding range (electric),,21.941,1187.53
2030,Global,Electric oven – Freestanding range (electric),,22.27,1211.28
2031,Global,Electric oven – Freestanding range (electric),,22.604,1235.51
2032,Global,Electric oven – Freestanding range (electric),,22.943,1260.22
2033,Global,Electric oven – Freestanding range (electric),,23.287,1285.42
2034,Global,Electric oven – Freestanding range (electric),,23.637,1311.13
2035,Global,Electric oven – Freestanding range (electric),,23.991,1337.35
2015,Global,Electric kettle – Standard,48.0,,17.5
2016,Global,Electric kettle – Standard,48.72,,17.85
2017,Global,Electric kettle – Standard,49.451,,18.21
2018,Global,Electric kettle – Standard,50.193,,18.57
2019,Global,Electric kettle – Standard,50.945,,18.94
2020,Global,Electric kettle – Standard,51.71,,19.32
2021,Global,Electric kettle – Standard,52.485,,19.71
2022,Global,Electric kettle – Standard,53.273,,20.1
2023,Global,Electric kettle – Standard,54.072,,20.5
2024,Global,Electric kettle – Standard,54.883,,20.91
2025,Global,Electric kettle – Standard,,55.651,21.33
2026,Global,Electric kettle – Standard,,56.43,21.76
2027,Global,Electric kettle – Standard,,57.22,22.19
2028,Global,Electric kettle – Standard,,58.021,22.64
2029,Global,Electric kettle – Standard,,58.834,23.09
2030,Global,Electric kettle – Standard,,59.657,23.55
2031,Global,Electric kettle – Standard,,60.492,24.02
2032,Global,Electric kettle – Standard,,61.339,24.5
2033,Global,Electric kettle – Standard,,62.198,24.99
2034,Global,Electric kettle – Standard,,63.069,25.49
2035,Global,Electric kettle – Standard,,63.952,26.0
2015,Global,Electric kettle – Variable-temperature,20.0,,27.5
2016,Global,Electric kettle – Variable-temperature,20.34,,28.05
2017,Global,Electric kettle – Variable-temperature,20.686,,28.61
2018,Global,Electric kettle – Variable-temperature,21.037,,29.18
2019,Global,Electric kettle – Variable-temperature,21.395,,29.77
2020,Global,Electric kettle – Variable-temperature,21.759,,30.36
2021,Global,Electric kettle – Variable-temperature,22.129,,30.97
2022,Global,Electric kettle – Variable-temperature,22.505,,31.59
2023,Global,Electric kettle – Variable-temperature,22.887,,32.22
2024,Global,Electric kettle – Variable-temperature,23.277,,32.87
2025,Global,Electric kettle – Variable-temperature,,23.649,33.52
2026,Global,Electric kettle – Variable-temperature,,24.027,34.19
2027,Global,Electric kettle – Variable-temperature,,24.412,34.88
2028,Global,Electric kettle – Variable-temperature,,24.802,35.57
2029,Global,Electric kettle – Variable-temperature,,25.199,36.29
2030,Global,Electric kettle – Variable-temperature,,25.602,37.01
2031,Global,Electric kettle – Variable-temperature,,26.012,37.75
2032,Global,Electric kettle – Variable-temperature,,26.428,38.51
2033,Global,Electric kettle – Variable-temperature,,26.851,39.28
2034,Global,Electric kettle – Variable-temperature,,27.281,40.06
2035,Global,Electric kettle – Variable-temperature,,27.717,40.86
2015,Global,Electric kettle – Gooseneck (pour-over),12.0,,32.5
2016,Global,Electric kettle – Gooseneck (pour-over),12.204,,33.15
2017,Global,Electric kettle – Gooseneck (pour-over),12.411,,33.81
2018,Global,Electric kettle – Gooseneck (pour-over),12.622,,34.49
2019,Global,Electric kettle – Gooseneck (pour-over),12.837,,35.18
2020,Global,Electric kettle – Gooseneck (pour-over),13.055,,35.88
2021,Global,Electric kettle – Gooseneck (pour-over),13.277,,36.6
2022,Global,Electric kettle – Gooseneck (pour-over),13.503,,37.33
2023,Global,Electric kettle – Gooseneck (pour-over),13.732,,38.08
2024,Global,Electric kettle – Gooseneck (pour-over),13.966,,38.84
2025,Global,Electric kettle – Gooseneck (pour-over),,14.189,39.62
2026,Global,Electric kettle – Gooseneck (pour-over),,14.416,40.41
2027,Global,Electric kettle – Gooseneck (pour-over),,14.647,41.22
2028,Global,Electric kettle – Gooseneck (pour-over),,14.881,42.04
2029,Global,Electric kettle – Gooseneck (pour-over),,15.12,42.88
2030,Global,Electric kettle – Gooseneck (pour-over),,15.361,43.74
2031,Global,Electric kettle – Gooseneck (pour-over),,15.607,44.62
2032,Global,Electric kettle – Gooseneck (pour-over),,15.857,45.51
2033,Global,Electric kettle – Gooseneck (pour-over),,16.111,46.42
2034,Global,Electric kettle – Gooseneck (pour-over),,16.368,47.35
2035,Global,Electric kettle – Gooseneck (pour-over),,16.63,48.29
2015,Global,Toaster – 2-slice pop-up,40.0,,21.0
2016,Global,Toaster – 2-slice pop-up,40.6,,21.42
2017,Global,Toaster – 2-slice pop-up,41.209,,21.85
2018,Global,Toaster – 2-slice pop-up,41.827,,22.29
2019,Global,Toaster – 2-slice pop-up,42.455,,22.73
2020,Global,Toaster – 2-slice pop-up,43.091,,23.19
2021,Global,Toaster – 2-slice pop-up,43.738,,23.65
2022,Global,Toaster – 2-slice pop-up,44.394,,24.12
2023,Global,Toaster – 2-slice pop-up,45.06,,24.6
2024,Global,Toaster – 2-slice pop-up,45.736,,25.1
2025,Global,Toaster – 2-slice pop-up,,46.376,25.6
2026,Global,Toaster – 2-slice pop-up,,47.025,26.11
2027,Global,Toaster – 2-slice pop-up,,47.684,26.63
2028,Global,Toaster – 2-slice pop-up,,48.351,27.17
2029,Global,Toaster – 2-slice pop-up,,49.028,27.71
2030,Global,Toaster – 2-slice pop-up,,49.714,28.26
2031,Global,Toaster – 2-slice pop-up,,50.41,28.83
2032,Global,Toaster – 2-slice pop-up,,51.116,29.41
2033,Global,Toaster – 2-slice pop-up,,51.832,29.99
2034,Global,Toaster – 2-slice pop-up,,52.557,30.59
2035,Global,Toaster – 2-slice pop-up,,53.293,31.2
2015,Global,Toaster – 4-slice pop-up,20.0,,27.0
2016,Global,Toaster – 4-slice pop-up,20.32,,27.54
2017,Global,Toaster – 4-slice pop-up,20.645,,28.09
2018,Global,Toaster – 4-slice pop-up,20.975,,28.65
2019,Global,Toaster – 4-slice pop-up,21.311,,29.23
2020,Global,Toaster – 4-slice pop-up,21.652,,29.81
2021,Global,Toaster – 4-slice pop-up,21.998,,30.41
2022,Global,Toaster – 4-slice pop-up,22.35,,31.01
2023,Global,Toaster – 4-slice pop-up,22.708,,31.63
2024,Global,Toaster – 4-slice pop-up,23.071,,32.27
2025,Global,Toaster – 4-slice pop-up,,23.417,32.91
2026,Global,Toaster – 4-slice pop-up,,23.769,33.57
2027,Global,Toaster – 4-slice pop-up,,24.125,34.24
2028,Global,Toaster – 4-slice pop-up,,24.487,34.93
2029,Global,Toaster – 4-slice pop-up,,24.854,35.63
2030,Global,Toaster – 4-slice pop-up,,25.227,36.34
2031,Global,Toaster – 4-slice pop-up,,25.606,37.07
2032,Global,Toaster – 4-slice pop-up,,25.99,37.81
2033,Global,Toaster – 4-slice pop-up,,26.38,38.56
2034,Global,Toaster – 4-slice pop-up,,26.775,39.33
2035,Global,Toaster – 4-slice pop-up,,27.177,40.12
2015,Global,Toaster – Toaster oven,20.0,,45.0
2016,Global,Toaster – Toaster oven,20.34,,45.9
2017,Global,Toaster – Toaster oven,20.686,,46.82
2018,Global,Toaster – Toaster oven,21.037,,47.75
2019,Global,Toaster – Toaster oven,21.395,,48.71
2020,Global,Toaster – Toaster oven,21.759,,49.68
2021,Global,Toaster – Toaster oven,22.129,,50.68
2022,Global,Toaster – Toaster oven,22.505,,51.69
2023,Global,Toaster – Toaster oven,22.887,,52.72
2024,Global,Toaster – Toaster oven,23.277,,53.78
2025,Global,Toaster – Toaster oven,,23.649,54.85
2026,Global,Toaster – Toaster oven,,24.027,55.95
2027,Global,Toaster – Toaster oven,,24.412,57.07
2028,Global,Toaster – Toaster oven,,24.802,58.21
2029,Global,Toaster – Toaster oven,,25.199,59.38
2030,Global,Toaster – Toaster oven,,25.602,60.56
2031,Global,Toaster – Toaster oven,,26.012,61.78
2032,Global,Toaster – Toaster oven,,26.428,63.01
2033,Global,Toaster – Toaster oven,,26.851,64.27
2034,Global,Toaster – Toaster oven,,27.281,65.56
2035,Global,Toaster – Toaster oven,,27.717,66.87
2015,Global,Blender / mixer–grinder – Countertop blender,45.0,,54.0
2016,Global,Blender / mixer–grinder – Countertop blender,45.945,,55.08
2017,Global,Blender / mixer–grinder – Countertop blender,46.91,,56.18
2018,Global,Blender / mixer–grinder – Countertop blender,47.895,,57.31
2019,Global,Blender / mixer–grinder – Countertop blender,48.901,,58.45
2020,Global,Blender / mixer–grinder – Countertop blender,49.928,,59.62
2021,Global,Blender / mixer–grinder – Countertop blender,50.976,,60.81
2022,Global,Blender / mixer–grinder – Countertop blender,52.047,,62.03
2023,Global,Blender / mixer–grinder – Countertop blender,53.14,,63.27
2024,Global,Blender / mixer–grinder – Countertop blender,54.256,,64.53
