Year,Region,Product_Category,Market_Size_Units (Millions),Market_Value (USD Billions),YoY_Growth_Rate (%),5_Year_CAGR_Forecast (%),Key_Driver
2025,Global,Refrigerator – Side-by-side,31.017,37.809,2.0,1.8,Urbanization
2026,Global,Refrigerator – Side-by-side,31.637,39.337,2.0,1.8,Urbanization
2027,Global,Refrigerator – Side-by-side,32.27,40.926,2.0,1.8,Urbanization
2028,Global,Refrigerator – Side-by-side,32.915,42.58,2.0,1.8,Urbanization
2015,Global,Washing machine – Top-load agitator,25.0,12.75,,2.2,Premiumization
2016,Global,Washing machine – Top-load agitator,25.625,13.33,2.5,2.2,Premiumization
2017,Global,Washing machine – Top-load agitator,26.266,13.937,2.5,2.2,Premiumization
2018,Global,Washing machine – Top-load agitator,26.922,14.571,2.5,2.2,Premiumization
2019,Global,Washing machine – Top-load agitator,27.595,15.234,2.5,2.2,Premiumization
2020,Global,Washing machine – Top-load agitator,28.285,15.927,2.5,2.2,Premiumization
2021,Global,Washing machine – Top-load agitator,28.992,16.652,2.5,2.2,Premiumization
2022,Global,Washing machine – Top-load agitator,29.717,17.409,2.5,2.2,Premiumization
2023,Global,Washing machine – Top-load agitator,30.46,18.201,2.5,2.2,Premiumization
2024,Global,Washing machine – Top-load agitator,31.222,19.029,2.5,2.2,Premiumization
2025,Global,Washing machine – Top-load agitator,31.908,19.837,2.2,2.2,Premiumization
2026,Global,Washing machine – Top-load agitator,32.61,20.679,2.2,2.2,Premiumization
2027,Global,Washing machine – Top-load agitator,33.328,21.557,2.2,2.2,Premiumization
2028,Global,Washing machine – Top-load agitator,34.061,22.471,2.2,2.2,Premiumization
2015,Global,Washing machine – Top-load impeller (HE),35.0,19.95,,2.2,Premiumization
2016,Global,Washing machine – Top-load impeller (HE),35.91,20.878,2.6,2.2,Premiumization
2017,Global,Washing machine – Top-load impeller (HE),36.844,21.849,2.6,2.2,Premiumization
2018,Global,Washing machine – Top-load impeller (HE),37.802,22.866,2.6,2.2,Premiumization
2019,Global,Washing machine – Top-load impeller (HE),38.784,23.929,2.6,2.2,Premiumization
2020,Global,Washing machine – Top-load impeller (HE),39.793,25.043,2.6,2.2,Premiumization
2021,Global,Washing machine – Top-load impeller (HE),40.827,26.208,2.6,2.2,Premiumization
2022,Global,Washing machine – Top-load impeller (HE),41.889,27.427,2.6,2.2,Premiumization
2023,Global,Washing machine – Top-load impeller (HE),42.978,28.703,2.6,2.2,Premiumization
2024,Global,Washing machine – Top-load impeller (HE),44.096,30.038,2.6,2.2,Premiumization
2025,Global,Washing machine – Top-load impeller (HE),45.11,31.343,2.3,2.2,Premiumization
2026,Global,Washing machine – Top-load impeller (HE),46.147,32.706,2.3,2.2,Premiumization
2027,Global,Washing machine – Top-load impeller (HE),47.209,34.127,2.3,2.2,Premiumization
2028,Global,Washing machine – Top-load impeller (HE),48.294,35.61,2.3,2.2,Premiumization
2015,Global,Washing machine – Front-load,40.0,27.6,,2.2,Premiumization
2016,Global,Washing machine – Front-load,41.08,28.912,2.7,2.2,Premiumization
2017,Global,Washing machine – Front-load,42.189,30.287,2.7,2.2,Premiumization
2018,Global,Washing machine – Front-load,43.328,31.726,2.7,2.2,Premiumization
2019,Global,Washing machine – Front-load,44.498,33.235,2.7,2.2,Premiumization
2020,Global,Washing machine – Front-load,45.7,34.815,2.7,2.2,Premiumization
2021,Global,Washing machine – Front-load,46.933,36.47,2.7,2.2,Premiumization
2022,Global,Washing machine – Front-load,48.201,38.204,2.7,2.2,Premiumization
2023,Global,Washing machine – Front-load,49.502,40.02,2.7,2.2,Premiumization
2024,Global,Washing machine – Front-load,50.839,41.922,2.7,2.2,Premiumization
2025,Global,Washing machine – Front-load,52.059,43.787,2.4,2.2,Premiumization
2026,Global,Washing machine – Front-load,53.308,45.735,2.4,2.2,Premiumization
2027,Global,Washing machine – Front-load,54.588,47.769,2.4,2.2,Premiumization
2028,Global,Washing machine – Front-load,55.898,49.894,2.4,2.2,Premiumization
2015,Global,Microwave oven – Countertop,49.0,4.459,,1.2,Convenience
2016,Global,Microwave oven – Countertop,49.49,4.594,1.0,1.2,Convenience
2017,Global,Microwave oven – Countertop,49.985,4.732,1.0,1.2,Convenience
2018,Global,Microwave oven – Countertop,50.485,4.875,1.0,1.2,Convenience
2019,Global,Microwave oven – Countertop,50.99,5.023,1.0,1.2,Convenience
2020,Global,Microwave oven – Countertop,51.499,5.174,1.0,1.2,Convenience
2021,Global,Microwave oven – Countertop,52.014,5.33,1.0,1.2,Convenience
2022,Global,Microwave oven – Countertop,52.535,5.491,1.0,1.2,Convenience
2023,Global,Microwave oven – Countertop,53.06,5.657,1.0,1.2,Convenience
2024,Global,Microwave oven – Countertop,53.591,5.828,1.0,1.2,Convenience
2025,Global,Microwave oven – Countertop,54.234,6.016,1.2,1.2,Convenience
2026,Global,Microwave oven – Countertop,54.884,6.21,1.2,1.2,Convenience
2027,Global,Microwave oven – Countertop,55.543,6.41,1.2,1.2,Convenience
2028,Global,Microwave oven – Countertop,56.21,6.617,1.2,1.2,Convenience
2015,Global,Microwave oven – Over-the-range,14.0,1.638,,1.2,Convenience
2016,Global,Microwave oven – Over-the-range,14.14,1.687,1.0,1.2,Convenience
2017,Global,Microwave oven – Over-the-range,14.281,1.738,1.0,1.2,Convenience
2018,Global,Microwave oven – Over-the-range,14.424,1.791,1.0,1.2,Convenience
2019,Global,Microwave oven – Over-the-range,14.568,1.845,1.0,1.2,Convenience
2020,Global,Microwave oven – Over-the-range,14.714,1.901,1.0,1.2,Convenience
2021,Global,Microwave oven – Over-the-range,14.861,1.958,1.0,1.2,Convenience
2022,Global,Microwave oven – Over-the-range,15.01,2.017,1.0,1.2,Convenience
2023,Global,Microwave oven – Over-the-range,15.16,2.078,1.0,1.2,Convenience
2024,Global,Microwave oven – Over-the-range,15.312,2.141,1.0,1.2,Convenience
2025,Global,Microwave oven – Over-the-range,15.495,2.21,1.2,1.2,Convenience
2026,Global,Microwave oven – Over-the-range,15.681,2.281,1.2,1.2,Convenience
2027,Global,Microwave oven – Over-the-range,15.869,2.355,1.2,1.2,Convenience
2028,Global,Microwave oven – Over-the-range,16.06,2.431,1.2,1.2,Convenience
2015,Global,Microwave oven – Built-in/Drawer,7.0,1.274,,1.2,Convenience
2016,Global,Microwave oven – Built-in/Drawer,7.091,1.316,1.3,1.2,Convenience
2017,Global,Microwave oven – Built-in/Drawer,7.183,1.36,1.3,1.2,Convenience
2018,Global,Microwave oven – Built-in/Drawer,7.277,1.405,1.3,1.2,Convenience
2019,Global,Microwave oven – Built-in/Drawer,7.371,1.452,1.3,1.2,Convenience
2020,Global,Microwave oven – Built-in/Drawer,7.467,1.5,1.3,1.2,Convenience
2021,Global,Microwave oven – Built-in/Drawer,7.564,1.55,1.3,1.2,Convenience
2022,Global,Microwave oven – Built-in/Drawer,7.662,1.602,1.3,1.2,Convenience
2023,Global,Microwave oven – Built-in/Drawer,7.762,1.655,1.3,1.2,Convenience
2024,Global,Microwave oven – Built-in/Drawer,7.863,1.71,1.3,1.2,Convenience
2025,Global,Microwave oven – Built-in/Drawer,7.981,1.771,1.5,1.2,Convenience
2026,Global,Microwave oven – Built-in/Drawer,8.101,1.833,1.5,1.2,Convenience
2027,Global,Microwave oven – Built-in/Drawer,8.222,1.898,1.5,1.2,Convenience
2028,Global,Microwave oven – Built-in/Drawer,8.345,1.965,1.5,1.2,Convenience
2015,Global,Induction cooktop / electric stove – Induction hob,17.5,11.55,,2.2,Induction shift
2016,Global,Induction cooktop / electric stove – Induction hob,18.008,12.123,2.9,2.2,Induction shift
2017,Global,Induction cooktop / electric stove – Induction hob,18.53,12.724,2.9,2.2,Induction shift
2018,Global,Induction cooktop / electric stove – Induction hob,19.067,13.355,2.9,2.2,Induction shift
2019,Global,Induction cooktop / electric stove – Induction hob,19.62,14.017,2.9,2.2,Induction shift
2020,Global,Induction cooktop / electric stove – Induction hob,20.189,14.712,2.9,2.2,Induction shift
2021,Global,Induction cooktop / electric stove – Induction hob,20.774,15.441,2.9,2.2,Induction shift
2022,Global,Induction cooktop / electric stove – Induction hob,21.377,16.207,2.9,2.2,Induction shift
2023,Global,Induction cooktop / electric stove – Induction hob,21.997,17.01,2.9,2.2,Induction shift
2024,Global,Induction cooktop / electric stove – Induction hob,22.635,17.853,2.9,2.2,Induction shift
2025,Global,Induction cooktop / electric stove – Induction hob,23.223,18.684,2.6,2.2,Induction shift
2026,Global,Induction cooktop / electric stove – Induction hob,23.827,19.553,2.6,2.2,Induction shift
2027,Global,Induction cooktop / electric stove – Induction hob,24.447,20.463,2.6,2.2,Induction shift
2028,Global,Induction cooktop / electric stove – Induction hob,25.082,21.415,2.6,2.2,Induction shift
2015,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),20.0,11.0,,2.2,Induction shift
2016,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),20.5,11.501,2.5,2.2,Induction shift
2017,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),21.012,12.024,2.5,2.2,Induction shift
2018,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),21.538,12.571,2.5,2.2,Induction shift
2019,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),22.076,13.143,2.5,2.2,Induction shift
2020,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),22.628,13.741,2.5,2.2,Induction shift
2021,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),23.194,14.366,2.5,2.2,Induction shift
2022,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),23.774,15.02,2.5,2.2,Induction shift
2023,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),24.368,15.703,2.5,2.2,Induction shift
2024,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),24.977,16.418,2.5,2.2,Induction shift
2025,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),25.527,17.114,2.2,2.2,Induction shift
2026,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),26.088,17.841,2.2,2.2,Induction shift
2027,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),26.662,18.598,2.2,2.2,Induction shift
2028,Global,Induction cooktop / electric stove – Radiant ceramic (smoothtop),27.249,19.387,2.2,2.2,Induction shift
2015,Global,Induction cooktop / electric stove – Electric coil,12.5,4.812,,2.2,Induction shift
2016,Global,Induction cooktop / electric stove – Electric coil,12.762,5.012,2.1,2.2,Induction shift
2017,Global,Induction cooktop / electric stove – Electric coil,13.031,5.219,2.1,2.2,Induction shift
2018,Global,Induction cooktop / electric stove – Electric coil,13.304,5.436,2.1,2.2,Induction shift
2019,Global,Induction cooktop / electric stove – Electric coil,13.584,5.661,2.1,2.2,Induction shift
2020,Global,Induction cooktop / electric stove – Electric coil,13.869,5.895,2.1,2.2,Induction shift
2021,Global,Induction cooktop / electric stove – Electric coil,14.16,6.139,2.1,2.2,Induction shift
2022,Global,Induction cooktop / electric stove – Electric coil,14.457,6.394,2.1,2.2,Induction shift
2023,Global,Induction cooktop / electric stove – Electric coil,14.761,6.659,2.1,2.2,Induction shift
2024,Global,Induction cooktop / electric stove – Electric coil,15.071,6.934,2.1,2.2,Induction shift
2025,Global,Induction cooktop / electric stove – Electric coil,15.342,7.2,1.8,2.2,Induction shift
2026,Global,Induction cooktop / electric stove – Electric coil,15.618,7.477,1.8,2.2,Induction shift
2027,Global,Induction cooktop / electric stove – Electric coil,15.9,7.763,1.8,2.2,Induction shift
2028,Global,Induction cooktop / electric stove – Electric coil,16.186,8.061,1.8,2.2,Induction shift
2015,Global,Electric oven – Single wall oven,10.5,10.5,,1.6,Built-in kitchens
2016,Global,Electric oven – Single wall oven,10.689,10.903,1.8,1.6,Built-in kitchens
2017,Global,Electric oven – Single wall oven,10.881,11.321,1.8,1.6,Built-in kitchens
2018,Global,Electric oven – Single wall oven,11.077,11.755,1.8,1.6,Built-in kitchens
2019,Global,Electric oven – Single wall oven,11.277,12.206,1.8,1.6,Built-in kitchens
2020,Global,Electric oven – Single wall oven,11.48,12.674,1.8,1.6,Built-in kitchens
2021,Global,Electric oven – Single wall oven,11.686,13.161,1.8,1.6,Built-in kitchens
2022,Global,Electric oven – Single wall oven,11.897,13.665,1.8,1.6,Built-in kitchens
2023,Global,Electric oven – Single wall oven,12.111,14.19,1.8,1.6,Built-in kitchens
2024,Global,Electric oven – Single wall oven,12.329,14.734,1.8,1.6,Built-in kitchens
2025,Global,Electric oven – Single wall oven,12.526,15.269,1.6,1.6,Built-in kitchens
2026,Global,Electric oven – Single wall oven,12.726,15.824,1.6,1.6,Built-in kitchens
2027,Global,Electric oven – Single wall oven,12.93,16.398,1.6,1.6,Built-in kitchens
2028,Global,Electric oven – Single wall oven,13.137,16.994,1.6,1.6,Built-in kitchens
2015,Global,Electric oven – Double wall oven,7.0,8.4,,1.6,Built-in kitchens
2016,Global,Electric oven – Double wall oven,7.133,8.731,1.9,1.6,Built-in kitchens
2017,Global,Electric oven – Double wall oven,7.269,9.075,1.9,1.6,Built-in kitchens
2018,Global,Electric oven – Double wall oven,7.407,9.432,1.9,1.6,Built-in kitchens
2019,Global,Electric oven – Double wall oven,7.547,9.803,1.9,1.6,Built-in kitchens
2020,Global,Electric oven – Double wall oven,7.691,10.189,1.9,1.6,Built-in kitchens
2021,Global,Electric oven – Double wall oven,7.837,10.591,1.9,1.6,Built-in kitchens
2022,Global,Electric oven – Double wall oven,7.986,11.008,1.9,1.6,Built-in kitchens
2023,Global,Electric oven – Double wall oven,8.138,11.441,1.9,1.6,Built-in kitchens
2024,Global,Electric oven – Double wall oven,8.292,11.892,1.9,1.6,Built-in kitchens
2025,Global,Electric oven – Double wall oven,8.433,12.336,1.7,1.6,Built-in kitchens
2026,Global,Electric oven – Double wall oven,8.576,12.796,1.7,1.6,Built-in kitchens
2027,Global,Electric oven – Double wall oven,8.722,13.274,1.7,1.6,Built-in kitchens
2028,Global,Electric oven – Double wall oven,8.871,13.77,1.7,1.6,Built-in kitchens
2015,Global,Electric oven – Freestanding range (electric),17.5,15.75,,1.6,Built-in kitchens
2016,Global,Electric oven – Freestanding range (electric),17.797,16.338,1.7,1.6,Built-in kitchens
2017,Global,Electric oven – Freestanding range (electric),18.1,16.948,1.7,1.6,Built-in kitchens
2018,Global,Electric oven – Freestanding range (electric),18.408,17.581,1.7,1.6,Built-in kitchens
2019,Global,Electric oven – Freestanding range (electric),18.721,18.237,1.7,1.6,Built-in kitchens
2020,Global,Electric oven – Freestanding range (electric),19.039,18.918,1.7,1.6,Built-in kitchens
2021,Global,Electric oven – Freestanding range (electric),19.363,19.625,1.7,1.6,Built-in kitchens
2022,Global,Electric oven – Freestanding range (electric),19.692,20.358,1.7,1.6,Built-in kitchens
2023,Global,Electric oven – Freestanding range (electric),20.027,21.118,1.7,1.6,Built-in kitchens
2024,Global,Electric oven – Freestanding range (electric),20.367,21.906,1.7,1.6,Built-in kitchens
2025,Global,Electric oven – Freestanding range (electric),20.672,22.68,1.5,1.6,Built-in kitchens
2026,Global,Electric oven – Freestanding range (electric),20.983,23.48,1.5,1.6,Built-in kitchens
2027,Global,Electric oven – Freestanding range (electric),21.297,24.309,1.5,1.6,Built-in kitchens
2028,Global,Electric oven – Freestanding range (electric),21.617,25.167,1.5,1.6,Built-in kitchens
2015,Global,Electric kettle – Standard,48.0,0.84,,1.4,Tea/coffee habits
2016,Global,Electric kettle – Standard,48.72,0.87,1.5,1.4,Tea/coffee habits
2017,Global,Electric kettle – Standard,49.451,0.9,1.5,1.4,Tea/coffee habits
2018,Global,Electric kettle – Standard,50.193,0.932,1.5,1.4,Tea/coffee habits
2019,Global,Electric kettle – Standard,50.945,0.965,1.5,1.4,Tea/coffee habits
2020,Global,Electric kettle – Standard,51.71,0.999,1.5,1.4,Tea/coffee habits
2021,Global,Electric kettle – Standard,52.485,1.034,1.5,1.4,Tea/coffee habits
2022,Global,Electric kettle – Standard,53.273,1.071,1.5,1.4,Tea/coffee habits
2023,Global,Electric kettle – Standard,54.072,1.109,1.5,1.4,Tea/coffee habits
2024,Global,Electric kettle – Standard,54.883,1.148,1.5,1.4,Tea/coffee habits
2025,Global,Electric kettle – Standard,55.651,1.187,1.4,1.4,Tea/coffee habits
2026,Global,Electric kettle – Standard,56.43,1.228,1.4,1.4,Tea/coffee habits
2027,Global,Electric kettle – Standard,57.22,1.27,1.4,1.4,Tea/coffee habits
2028,Global,Electric kettle – Standard,58.021,1.313,1.4,1.4,Tea/coffee habits
2015,Global,Electric kettle – Variable-temperature,20.0,0.55,,1.4,Tea/coffee habits
2016,Global,Electric kettle – Variable-temperature,20.34,0.571,1.7,1.4,Tea/coffee habits
2017,Global,Electric kettle – Variable-temperature,20.686,0.592,1.7,1.4,Tea/coffee habits
2018,Global,Electric kettle – Variable-temperature,21.037,0.614,1.7,1.4,Tea/coffee habits
2019,Global,Electric kettle – Variable-temperature,21.395,0.637,1.7,1.4,Tea/coffee habits
2020,Global,Electric kettle – Variable-temperature,21.759,0.661,1.7,1.4,Tea/coffee habits
2021,Global,Electric kettle – Variable-temperature,22.129,0.685,1.7,1.4,Tea/coffee habits
2022,Global,Electric kettle – Variable-temperature,22.505,0.711,1.7,1.4,Tea/coffee habits
2023,Global,Electric kettle – Variable-temperature,22.887,0.737,1.7,1.4,Tea/coffee habits
2024,Global,Electric kettle – Variable-temperature,23.277,0.765,1.7,1.4,Tea/coffee habits
2025,Global,Electric kettle – Variable-temperature,23.649,0.793,1.6,1.4,Tea/coffee habits
2026,Global,Electric kettle – Variable-temperature,24.027,0.822,1.6,1.4,Tea/coffee habits
2027,Global,Electric kettle – Variable-temperature,24.412,0.851,1.6,1.4,Tea/coffee habits
2028,Global,Electric kettle – Variable-temperature,24.802,0.882,1.6,1.4,Tea/coffee habits
2015,Global,Electric kettle – Gooseneck (pour-over),12.0,0.39,,1.4,Tea/coffee habits
2016,Global,Electric kettle – Gooseneck (pour-over),12.204,0.405,1.7,1.4,Tea/coffee habits
2017,Global,Electric kettle – Gooseneck (pour-over),12.411,0.42,1.7,1.4,Tea/coffee habits
2018,Global,Electric kettle – Gooseneck (pour-over),12.622,0.435,1.7,1.4,Tea/coffee habits
2019,Global,Electric kettle – Gooseneck (pour-over),12.837,0.452,1.7,1.4,Tea/coffee habits
2020,Global,Electric kettle – Gooseneck (pour-over),13.055,0.468,1.7,1.4,Tea/coffee habits
2021,Global,Electric kettle – Gooseneck (pour-over),13.277,0.486,1.7,1.4,Tea/coffee habits
2022,Global,Electric kettle – Gooseneck (pour-over),13.503,0.504,1.7,1.4,Tea/coffee habits
2023,Global,Electric kettle – Gooseneck (pour-over),13.732,0.523,1.7,1.4,Tea/coffee habits
2024,Global,Electric kettle – Gooseneck (pour-over),13.966,0.542,1.7,1.4,Tea/coffee habits
2025,Global,Electric kettle – Gooseneck (pour-over),14.189,0.562,1.6,1.4,Tea/coffee habits
2026,Global,Electric kettle – Gooseneck (pour-over),14.416,0.583,1.6,1.4,Tea/coffee habits
2027,Global,Electric kettle – Gooseneck (pour-over),14.647,0.604,1.6,1.4,Tea/coffee habits
2028,Global,Electric kettle – Gooseneck (pour-over),14.881,0.626,1.6,1.4,Tea/coffee habits
2015,Global,Toaster – 2-slice pop-up,40.0,0.84,,1.4,Breakfast revival
2016,Global,Toaster – 2-slice pop-up,40.6,0.87,1.5,1.4,Breakfast revival
2017,Global,Toaster – 2-slice pop-up,41.209,0.9,1.5,1.4,Breakfast revival
2018,Global,Toaster – 2-slice pop-up,41.827,0.932,1.5,1.4,Breakfast revival
2019,Global,Toaster – 2-slice pop-up,42.455,0.965,1.5,1.4,Breakfast revival
2020,Global,Toaster – 2-slice pop-up,43.091,0.999,1.5,1.4,Breakfast revival
2021,Global,Toaster – 2-slice pop-up,43.738,1.034,1.5,1.4,Breakfast revival
2022,Global,Toaster – 2-slice pop-up,44.394,1.071,1.5,1.4,Breakfast revival
2023,Global,Toaster – 2-slice pop-up,45.06,1.109,1.5,1.4,Breakfast revival
2024,Global,Toaster – 2-slice pop-up,45.736,1.148,1.5,1.4,Breakfast revival
2025,Global,Toaster – 2-slice pop-up,46.376,1.187,1.4,1.4,Breakfast revival
2026,Global,Toaster – 2-slice pop-up,47.025,1.228,1.4,1.4,Breakfast revival
2027,Global,Toaster – 2-slice pop-up,47.684,1.27,1.4,1.4,Breakfast revival
2028,Global,Toaster – 2-slice pop-up,48.351,1.313,1.4,1.4,Breakfast revival
2015,Global,Toaster – 4-slice pop-up,20.0,0.54,,1.4,Breakfast revival
2016,Global,Toaster – 4-slice pop-up,20.32,0.56,1.6,1.4,Breakfast revival
2017,Global,Toaster – 4-slice pop-up,20.645,0.58,1.6,1.4,Breakfast revival
2018,Global,Toaster – 4-slice pop-up,20.975,0.601,1.6,1.4,Breakfast revival
2019,Global,Toaster – 4-slice pop-up,21.311,0.623,1.6,1.4,Breakfast revival
2020,Global,Toaster – 4-slice pop-up,21.652,0.645,1.6,1.4,Breakfast revival
2021,Global,Toaster – 4-slice pop-up,21.998,0.669,1.6,1.4,Breakfast revival
2022,Global,Toaster – 4-slice pop-up,22.35,0.693,1.6,1.4,Breakfast revival
2023,Global,Toaster – 4-slice pop-up,22.708,0.718,1.6,1.4,Breakfast revival
2024,Global,Toaster – 4-slice pop-up,23.071,0.744,1.6,1.4,Breakfast revival
2025,Global,Toaster – 4-slice pop-up,23.417,0.771,1.5,1.4,Breakfast revival
2026,Global,Toaster – 4-slice pop-up,23.769,0.798,1.5,1.4,Breakfast revival
2027,Global,Toaster – 4-slice pop-up,24.125,0.826,1.5,1.4,Breakfast revival
2028,Global,Toaster – 4-slice pop-up,24.487,0.855,1.5,1.4,Breakfast revival
2015,Global,Toaster – Toaster oven,20.0,0.9,,1.4,Breakfast revival
2016,Global,Toaster – Toaster oven,20.34,0.934,1.7,1.4,Breakfast revival
2017,Global,Toaster – Toaster oven,20.686,0.968,1.7,1.4,Breakfast revival
2018,Global,Toaster – Toaster oven,21.037,1.005,1.7,1.4,Breakfast revival
2019,Global,Toaster – Toaster oven,21.395,1.042,1.7,1.4,Breakfast revival
2020,Global,Toaster – Toaster oven,21.759,1.081,1.7,1.4,Breakfast revival
2021,Global,Toaster – Toaster oven,22.129,1.121,1.7,1.4,Breakfast revival
2022,Global,Toaster – Toaster oven,22.505,1.163,1.7,1.4,Breakfast revival
2023,Global,Toaster – Toaster oven,22.887,1.207,1.7,1.4,Breakfast revival
2024,Global,Toaster – Toaster oven,23.277,1.252,1.7,1.4,Breakfast revival
2025,Global,Toaster – Toaster oven,23.649,1.297,1.6,1.4,Breakfast revival
2026,Global,Toaster – Toaster oven,24.027,1.344,1.6,1.4,Breakfast revival
2027,Global,Toaster – Toaster oven,24.412,1.393,1.6,1.4,Breakfast revival
2028,Global,Toaster – Toaster oven,24.802,1.444,1.6,1.4,Breakfast revival
2015,Global,Blender / mixer–grinder – Countertop blender,45.0,2.43,,1.8,Health/juicing
2016,Global,Blender / mixer–grinder – Countertop blender,45.945,2.531,2.1,1.8,Health/juicing
2017,Global,Blender / mixer–grinder – Countertop blender,46.91,2.635,2.1,1.8,Health/juicing
2018,Global,Blender / mixer–grinder – Countertop blender,47.895,2.745,2.1,1.8,Health/juicing
2019,Global,Blender / mixer–grinder – Countertop blender,48.901,2.858,2.1,1.8,Health/juicing
2020,Global,Blender / mixer–grinder – Countertop blender,49.928,2.977,2.1,1.8,Health/juicing
2021,Global,Blender / mixer–grinder – Countertop blender,50.976,3.1,2.1,1.8,Health/juicing
2022,Global,Blender / mixer–grinder – Countertop blender,52.047,3.228,2.1,1.8,Health/juicing
2023,Global,Blender / mixer–grinder – Countertop blender,53.14,3.362,2.1,1.8,Health/juicing
2024,Global,Blender / mixer–grinder – Countertop blender,54.256,3.501,2.1,1.8,Health/juicing
2025,Global,Blender / mixer–grinder – Countertop blender,55.286,3.639,1.9,1.8,Health/juicing
2026,Global,Blender / mixer–grinder – Countertop blender,56.337,3.783,1.9,1.8,Health/juicing
2027,Global,Blender / mixer–grinder – Countertop blender,57.407,3.932,1.9,1.8,Health/juicing
2028,Global,Blender / mixer–grinder – Countertop blender,58.498,4.086,1.9,1.8,Health/juicing
2015,Global,Blender / mixer–grinder – Immersion (hand) blender,27.0,1.296,,1.8,Health/juicing
2016,Global,Blender / mixer–grinder – Immersion (hand) blender,27.513,1.347,1.9,1.8,Health/juicing
